city,date,tavg,tmin,tmax,prcp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Banglore,10-03-2021,29.4,23.6,34.4,0,5,373.84,0.02,4.71,6.8,0.77,72.02,85.93,1.87
Banglore,11-03-2021,27.9,23.9,32.4,0,5,507.36,0.01,11.48,5.63,3.1,81.86,95.47,7.35
Banglore,12-03-2021,29.7,24,35.1,0,5,607.49,0,19.02,21.99,5.07,74.68,88.53,12.54
Banglore,13-03-2021,28.4,25.3,36.8,,5,383.85,0.01,7.03,5.23,1.3,76.12,101.78,3.74
Banglore,14-03-2021,29.7,,35.5,,5,480.65,0,5.01,41.49,2.77,107.46,125.11,6.97
Banglore,15-03-2021,28.1,20,33.4,21.3,5,534.06,0,5.91,48.64,3.73,80.34,85.82,8.87
Banglore,16-03-2021,26.7,21.2,32,8.4,5,827.79,0,8.23,57.22,4.53,136.97,146.1,10.51
Banglore,17-03-2021,28.7,21.4,34.5,0,5,393.87,0,6.34,18.24,2.03,79.22,94.73,4.75
Banglore,18-03-2021,28.2,22.6,34.4,0,5,467.3,0,8.57,35.76,3.87,82.17,112.5,8.49
Banglore,19-03-2021,26.6,22.9,36.3,0,5,427.25,0,8.74,29.33,3.93,79.1,121,8.49
Banglore,20-03-2021,28.7,22.1,36.3,0,5,343.8,0,6.34,16.09,1.68,76.19,111.98,4.69
Banglore,21-03-2021,31.3,,36,0,5,540.73,0,5.48,35.76,2.27,139.15,183.63,6.97
Banglore,22-03-2021,30.7,22.4,36.6,0,5,420.57,0,6.26,33.62,2.95,98.34,118.89,7.16
Banglore,23-03-2021,30,24.2,36.4,0,5,410.56,0,6.6,22.35,2.3,73.89,90.46,5.51
Banglore,24-03-2021,29.1,22.9,34.5,0,5,660.9,0,9.43,38.27,5.19,112.86,132.95,9.88
Banglore,25-03-2021,28.5,22.8,,0,5,520.71,0,5.48,35.41,4.77,126.61,146.76,5.7
Banglore,26-03-2021,29.9,22.2,35.1,182.1,5,527.38,0,8.4,12.88,3.4,104.61,123.17,7.09
Banglore,27-03-2021,28,21.5,34.5,0,5,357.15,0,9,12.88,2.65,53.75,78.72,6.08
Banglore,28-03-2021,28.1,,34,0,5,433.92,0,7.63,45.78,4.11,73.37,99.51,9.12
Banglore,29-03-2021,27.2,,33.3,,5,370.5,0,8.48,19.13,3.67,51.47,78.44,10.26
Banglore,30-03-2021,26.7,,33.3,1.5,5,594.14,0.01,5.4,8.85,1.54,158.88,180.85,3.61
Banglore,31-03-2021,27.1,20.4,33.3,3,5,560.76,0,2.91,52.93,0.64,98.07,114.54,0.29
Banglore,01-04-2021,26.1,22.6,32.3,0,5,487.33,0,2.66,65.8,1.04,55.7,77.78,0.74
Banglore,02-04-2021,25.6,22.4,,0.5,4,367.17,0,2.91,36.48,1.48,26.98,44.51,0.42
Banglore,03-04-2021,27.4,,33.3,0,4,433.92,0.01,10.97,6.35,2.74,33.59,48.93,5.51
Banglore,04-04-2021,26.7,,32.6,0,4,290.39,0.01,4.28,11.18,1.21,32.69,47.94,3.93
Banglore,05-04-2021,24.5,,31.5,0,5,370.5,0,6.43,39.7,3.52,54.61,72.59,8.61
Banglore,06-04-2021,25.2,21.1,31.1,0,4,520.71,0,19.54,14.84,5.13,47.56,60.21,13.17
Banglore,07-04-2021,26.9,22.6,31,0,5,654.22,0,12.85,29.68,4.77,87.05,99.41,11.02
Banglore,08-04-2021,25.5,,,,5,500.68,0.01,6,6.97,0.9,105.89,118.45,2.25
Banglore,09-04-2021,26.8,,32.1,,5,473.98,0.03,4.33,5.32,0.73,60.29,71.24,0.81
Banglore,10-04-2021,27.1,23,30.7,1,5,534.06,0.04,5.44,2.95,0.72,70.22,85.05,1.06
Banglore,11-04-2021,26.8,23,31.4,0,4,403.88,0,6.08,7.78,1.39,46.63,60.4,3.14
Banglore,12-04-2021,26.9,22.5,33.7,0,5,554.09,0,12,20.92,4.53,66.17,80.01,13.3
Banglore,13-04-2021,27.9,22,34.1,0,5,587.46,0,13.88,16.81,5.42,88.49,107.88,12.41
Banglore,14-04-2021,27.6,20.9,34.6,0,5,507.36,0,8.74,10.01,1.61,72.89,87.35,3.55
Banglore,15-04-2021,26.2,20.8,33.7,,5,400.54,0.02,5.91,5.19,1.1,60.31,74.77,2.47
Banglore,16-04-2021,26.2,20.8,31.6,21.8,5,447.27,0.08,6.17,2.1,1.3,54.8,69.07,3.1
Banglore,17-04-2021,26.4,21.4,32.5,0,4,343.8,0.03,5.48,3.31,1.31,28.61,39.57,3.17
Banglore,18-04-2021,23.9,21.3,29.2,1.3,4,487.33,0,10.97,14.13,3.31,44.92,52.91,10.13
Banglore,19-04-2021,24.8,21.4,28,2.3,4,367.17,0,2.51,23.6,0.6,40.47,45.92,0.78
Banglore,20-04-2021,23.1,21.2,29.7,0,3,337.12,0,2.14,28.61,0.81,21.19,26.41,0.61
Banglore,21-04-2021,24.2,21.6,31.5,2,4,370.5,0.03,4.2,5.23,0.81,37.84,47.69,1.71
Banglore,22-04-2021,20.9,,,13.7,5,420.57,0.03,7.63,3.76,2.27,60.85,78.47,5.57
Banglore,23-04-2021,23.4,19.4,29.2,85.1,5,397.21,0.01,3.68,8.85,0.66,51.02,61.25,0.67
Banglore,24-04-2021,,,,,5,370.5,0.01,4.5,9.39,0.69,57.1,72.56,1.84
Banglore,25-04-2021,,,,,4,353.81,0,5.74,23.6,2.21,43.67,53.84,6.78
Banglore,26-04-2021,,,,,5,383.85,0,6.26,19.31,2.56,76.36,113.4,6.9
Banglore,27-04-2021,,,,,5,527.38,0,11.82,14.84,5.01,108.89,146.83,10.77
Banglore,28-04-2021,,,,,5,433.92,0,7.37,8.23,1.76,65.55,97.17,4.24
Banglore,29-04-2021,25.1,,,,5,453.95,0.01,13.37,6.62,3.64,65.39,90.42,9.25
Banglore,30-04-2021,25.5,20,32,0,5,377.18,0.08,4.16,2.57,0.6,55.07,66.18,0.79
Banglore,01-05-2021,24.7,20.4,31.8,0,5,473.98,0,2.55,43.63,1.59,80.85,90.14,2.5
Banglore,02-05-2021,22.9,19.8,28.6,15,5,410.56,0,4.88,3.67,0.6,85.61,94.36,1.08
Banglore,03-05-2021,23.4,,27.3,0,4,317.1,0,1.8,14.31,0.45,29.53,32.29,0.37
Banglore,04-05-2021,23.9,19.6,29,,4,433.92,0,7.71,8.85,2.8,28.52,31.96,6.14
Banglore,05-05-2021,24.6,,30.3,0,2,347.14,0.34,6.08,0.79,1.76,17.74,20.85,3.8
Banglore,06-05-2021,23.4,,30.3,0,3,527.38,0.01,17.31,2.68,3.58,24.48,29.03,10.64
Banglore,07-05-2021,23.5,,30.3,0,3,353.81,0.07,3.98,1.77,0.88,23.29,25.52,1.65
Banglore,08-05-2021,23.2,,29.3,0,3,373.84,0,3.21,7.33,0.68,20.43,24.41,0.87
Banglore,09-05-2021,24.6,,29.3,5.8,3,447.27,0,12.68,5.59,3.04,21.28,25.5,10.64
Banglore,10-05-2021,23.3,,26.1,5.1,2,313.76,0,1.56,12.16,0.38,14.47,15.98,0.55
Banglore,11-05-2021,22.8,19.9,26.3,0,1,303.75,0.01,2.74,7.96,0.65,9.85,12.58,0.69
Banglore,12-05-2021,23.8,20.1,28.2,1.5,2,323.77,0.08,2.74,0.83,0.69,16.63,19.04,1.08
Banglore,13-05-2021,24.2,20.6,29.9,0,2,303.75,0.17,2.79,1.5,0.43,11.58,14.02,0.55
Banglore,14-05-2021,23.5,20.8,,0,1,320.44,0.46,2.4,0.37,0.66,8.65,10.9,1.27
Banglore,15-05-2021,23.6,20.2,28.8,0,1,290.39,0,2.01,27.54,0.97,9.07,10.03,0.32
Banglore,16-05-2021,23.1,,26.8,0,2,267.03,0,1.61,12.52,0.51,12.74,15.84,0.59
Banglore,17-05-2021,23.7,19.6,29.1,0,4,333.79,0.02,6.77,1.65,1.33,26.84,34.55,4.37
Banglore,18-05-2021,24.3,,29,,2,320.44,0.04,3.68,3.17,0.7,12.75,18.53,0.86
Banglore,19-05-2021,23.7,20.8,29.1,0,1,243.66,0,2.4,15.74,1.19,5.18,8.76,0.46
Banglore,20-05-2021,23.6,20.2,,,1,240.33,0,2.87,10.37,1.07,3.71,5.7,0.4
Banglore,21-05-2021,24.1,,29.5,,1,250.34,0,3.13,21.82,1.33,7.46,11.75,0.45
Banglore,22-05-2021,24.5,19.9,30,0,2,307.08,0.01,3.56,7.33,0.71,10.59,14.54,0.91
Banglore,23-05-2021,23.6,19.6,,0,1,310.42,0.01,3.6,4.83,1.39,9.74,12.95,1.81
Banglore,24-05-2021,23.5,19.6,27.8,0,1,250.34,0.04,2.49,0.76,0.5,5.58,6.39,0.51
Banglore,25-05-2021,23.2,19.8,26.5,,1,287.06,0,2.66,3.22,0.72,6.72,8.7,0.5
Banglore,26-05-2021,22.6,20.2,27.8,0,1,250.34,0.1,1.97,0.86,0.35,3.36,3.88,0.48
Banglore,27-05-2021,23.4,,28.3,6.1,1,263.69,1.16,2.7,0.14,0.61,8.04,13.34,1.17
Banglore,28-05-2021,23.1,19.8,26.8,5.6,2,370.5,0.16,6.51,1.16,2.3,18.46,24.77,5.38
Banglore,29-05-2021,23.4,20,28.6,1,2,313.76,0,2.38,11,0.75,11.71,14.82,0.82
Banglore,30-05-2021,22.7,19.6,28.3,0,1,267.03,0,1.69,13.23,0.56,9.71,12.27,0.71
Banglore,31-05-2021,22.3,19.5,26.9,8.4,2,243.66,0,1.37,32.54,0.67,11.59,14.64,0.4
Banglore,01-06-2021,22.2,19.4,27,1,1,253.68,0,2.04,26.11,0.63,8.04,9.94,0.52
Banglore,02-06-2021,22.3,19.7,29.1,0,1,223.64,0,1.46,17.88,0.37,2.61,2.82,0.29
Banglore,03-06-2021,24,19.2,30,0,1,247,0,1.54,13.77,0.41,3.56,4.22,0.34
Banglore,04-06-2021,23.8,20.1,29.5,,1,270.37,0,1.91,29.68,0.91,4.63,5.17,0.29
Banglore,05-06-2021,22.9,20.2,28,0,1,240.33,0,2.01,14.84,0.54,2.74,3.26,0.33
Banglore,06-06-2021,21.5,19.6,23.5,0.5,1,210.29,0,1.21,11.44,0.31,2.01,2.27,0.28
Banglore,07-06-2021,22.7,19.4,27.1,0.3,1,216.96,0,1.69,11.27,0.49,2.26,2.44,0.22
Banglore,08-06-2021,22.4,,26.8,9.7,1,198.6,0,1.35,10.19,0.35,1.03,1.3,0.26
Banglore,09-06-2021,22.3,19.4,27,1.8,1,223.64,0.03,1.97,2.35,0.48,3.85,5.47,0.52
Banglore,10-06-2021,21.3,19.5,22.8,0,2,357.15,0.75,2.59,0.22,0.69,14.86,16.5,1.09
Banglore,11-06-2021,22.4,18.4,27.7,0,1,267.03,0.04,1.69,1.43,0.4,5.34,6.55,0.55
Banglore,12-06-2021,22.5,18.8,28.3,,2,283.72,0.57,3.51,0.16,1.12,10.21,13.3,2.91
Banglore,13-06-2021,22.2,19,27.5,0,1,240.33,1.29,3.17,0.03,0.48,4.44,5.01,1.47
Banglore,14-06-2021,23.4,19.4,,0,1,220.3,0.56,2.1,0.1,0.84,5.37,9.09,2.44
Banglore,15-06-2021,22.6,,27.7,0,1,230.31,0.05,2.19,3.04,0.45,3.61,5.94,0.59
Banglore,16-06-2021,23.1,19.5,26.3,,1,233.65,0,1.24,16.45,0.31,2.91,3.42,0.29
Banglore,17-06-2021,21.8,,29,,1,247,0.02,1.74,5.68,0.38,4.45,5.77,0.45
Banglore,18-06-2021,23.8,19.4,29.4,2,2,317.1,2.52,1.59,0.06,0.57,12.62,15.04,0.74
Banglore,19-06-2021,23,19.4,,0,1,247,0.72,3.81,0.69,0.34,6.03,8.83,0.36
Banglore,20-06-2021,23.7,20.2,,,1,230.31,0,1.24,11.18,0.26,4.14,4.41,0.27
Banglore,21-06-2021,21.7,19,27.1,0,1,210.29,0.01,1.22,7.24,0.29,4.04,4.84,0.37
Banglore,22-06-2021,21.9,19.1,,0,1,267.03,0.18,2.44,1.11,0.86,8.99,12.45,1.82
Banglore,23-06-2021,22.9,19.2,27,0,1,247,0.02,1.8,5.19,0.47,6,7.12,0.52
Banglore,24-06-2021,23.1,18.8,29,,1,247,0,1.71,11.8,0.39,3.28,3.52,0.31
Banglore,25-06-2021,23.5,18.5,32.3,,1,236.99,0,1.91,10.46,0.4,1.28,1.58,0.34
Banglore,26-06-2021,24.6,,30.3,0,1,236.99,0.01,1.65,8.23,0.44,3.14,3.94,0.47
Banglore,27-06-2021,23.8,19.2,30.5,,1,230.31,0,1.17,11,0.37,2.13,2.51,0.37
Banglore,28-06-2021,24.1,19.6,31.3,0,1,260.35,0,1.11,21.1,0.44,2.76,2.93,0.27
Banglore,29-06-2021,23.9,20,29.4,2.3,1,220.3,0,1.13,17.7,0.32,2.31,2.49,0.24
Banglore,30-06-2021,22.4,20.3,30.4,0,1,213.62,0,1.15,16.81,0.32,3.17,3.35,0.23
Banglore,01-07-2021,21.8,20.2,25.4,8.4,1,206.95,0,0.98,18.06,0.28,2.32,2.45,0.21
Banglore,02-07-2021,22.6,20,27.5,3.6,1,191.93,0,0.96,17.52,0.27,0.99,1.1,0.18
Banglore,03-07-2021,22,,28,0,1,201.94,0,1.08,15.91,0.26,1.91,2.14,0.23
Banglore,04-07-2021,22.9,20.2,28.5,2,1,205.28,0,0.91,12.52,0.25,2.93,3.43,0.32
Banglore,05-07-2021,23.1,,28.7,2.3,1,200.27,0.04,1.31,2.59,0.31,2.33,3.74,0.5
Banglore,06-07-2021,21.4,19,24,10.4,1,243.66,0,1.63,8.85,0.41,2.4,3.08,0.39
Banglore,07-07-2021,22.6,19.6,,0,1,240.33,0,1.67,11.44,0.4,2.23,2.59,0.32
Banglore,08-07-2021,21,19.2,,0.8,1,226.97,0.01,1.8,3.04,0.36,3.34,4.01,0.34
Banglore,09-07-2021,20.5,,24.5,9.1,1,253.68,0.1,2.21,1.42,0.51,5.23,6.9,0.6
Banglore,10-07-2021,21.8,19,26,25.9,1,280.38,0.38,2.53,0.25,0.49,7.05,7.61,0.54
Banglore,11-07-2021,22.3,19.6,26.5,0.3,1,270.37,0.22,2.01,0.4,0.47,7.52,9.13,0.71
